id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Name	baseMean_lfcShrinkApplied	log2FoldChange_lfcShrinkApplied	lfcSE_lfcShrinkApplied	pvalue_lfcShrinkApplied	padj_lfcShrinkApplied
ENSG00000279514	58.9660609743056	28.3924079494563	3.2274287464652	8.79722224094109	1.4024438847241e-18	3.54075007576294e-14	OR4C16	58.9660609743056	0.00129157453035168	0.116187051463719	1.4024438847241e-18	3.54075007576294e-14
ENSG00000023171	575.845277280842	-1.39560164917052	0.168442343527673	-8.28533740354448	1.17774712900723e-16	1.48672908830227e-12	GRAMD1B	575.845277280842	-1.35463555526446	0.1697309491049	1.17774712900723e-16	1.48672908830227e-12
ENSG00000269096	7.50534509243409	-22.9689995523305	3.22846752326311	-7.11452086379205	1.12302280869064e-12	9.45098561700416e-09	CT45A3	7.50534509243409	-0.00121808362231849	0.116188520925876	1.12302280869064e-12	9.45098561700416e-09
ENSG00000101445	553.501322013114	-1.39243952095893	0.202862133470013	-6.86396961887795	6.69728800621712e-12	4.22716075732409e-08	PPP1R16B	553.501322013114	-1.32971547058585	0.209443643494167	6.69728800621712e-12	4.22716075732409e-08
ENSG00000237671	5.79146807014625	-21.9398582120479	3.2284649777708	-6.79575537077592	1.07746474224394e-11	5.44055046948655e-08	GAGE12C	5.79146807014625	-0.00094962811473724	0.116187060305526	1.07746474224394e-11	5.44055046948655e-08
ENSG00000255223	74.5457879890273	20.9403836695615	3.22191548226676	6.49935846697909	8.06632485430025e-11	3.39417505994197e-07	OR5M11	74.5457879890273	0.00340858902123239	0.116247592901667	8.06632485430025e-11	3.39417505994197e-07
ENSG00000120280	59.2941288698423	-1.04219373962639	0.164060099175457	-6.35251194449049	2.11826972143174e-10	7.63999366528389e-07	CXorf21	59.2941288698423	-0.989494684185363	0.166917623517681	2.11826972143174e-10	7.63999366528389e-07
ENSG00000168961	2236.39583843181	-0.991129954538856	0.160783395696899	-6.16438003590424	7.07598171644463e-10	2.23309137993847e-06	LGALS9	2236.39583843181	-0.937128493073706	0.165341246589059	7.07598171644463e-10	2.23309137993847e-06
ENSG00000116852	696.363016614842	-1.01471155183198	0.168267460696188	-6.03034922874405	1.63605743957291e-09	4.58950468632191e-06	KIF21B	696.363016614842	-0.955040905692867	0.175972985241347	1.63605743957291e-09	4.58950468632191e-06
ENSG00000271503	589.134513778259	-1.58471231306636	0.264856871305364	-5.98327808244506	2.1869092678898e-09	5.52128982864137e-06	CCL5	589.134513778259	-1.48286078774442	0.285359580960221	2.1869092678898e-09	5.52128982864137e-06
ENSG00000133106	2258.36007847625	-1.24251661385006	0.209705416416782	-5.92505732603779	3.12188464722248e-09	7.165292880766e-06	EPSTI1	2258.36007847625	-1.16912936503151	0.214942595243765	3.12188464722248e-09	7.165292880766e-06
