NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	198	0.45773247	7.7135606	0.0	0.0	0.0	9454	tags=73%, list=28%, signal=101%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	196	0.4252627	6.8305845	0.0	0.0	0.0	6633	tags=62%, list=19%, signal=76%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	195	0.40075076	6.5764203	0.0	0.0	0.0	10195	tags=70%, list=30%, signal=99%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	58	0.48721823	4.46169	0.0	0.0	0.0	5755	tags=66%, list=17%, signal=79%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	157	0.29458085	4.3946824	0.0	0.0	0.0	8897	tags=55%, list=26%, signal=75%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	185	0.2183492	3.4904816	0.0	0.0	0.0	8815	tags=48%, list=26%, signal=64%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	149	0.24856983	3.4555354	0.0	0.0	0.0	8725	tags=50%, list=26%, signal=67%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	198	0.2053532	3.336643	0.0	0.0	0.0	10088	tags=50%, list=30%, signal=71%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	196	0.19802845	3.3295126	0.0	0.0	0.0	8596	tags=45%, list=25%, signal=60%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	197	0.18546183	3.0249784	0.0	9.0476184E-5	0.001	8079	tags=42%, list=24%, signal=55%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	104	0.23072597	2.7701683	0.0	8.2251085E-5	0.001	5599	tags=39%, list=16%, signal=47%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.2375113	2.7222586	0.0	1.868166E-4	0.003	4127	tags=36%, list=12%, signal=41%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	197	0.15219997	2.4879777	0.0	2.86026E-4	0.005	9553	tags=43%, list=28%, signal=60%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	132	0.15152632	2.0446532	0.0019267823	0.0051245764	0.088	11903	tags=50%, list=35%, signal=77%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	0.1532215	1.9131389	0.006263048	0.009975793	0.172	6666	tags=35%, list=20%, signal=43%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	193	0.1081204	1.787219	0.02970297	0.019497696	0.331	9055	tags=37%, list=27%, signal=51%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	109	0.13179901	1.6068069	0.043052837	0.045846157	0.659	6782	tags=33%, list=20%, signal=41%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS	Details ...	73	0.13278775	1.3497876	0.122	0.13792187	0.956	9028	tags=40%, list=26%, signal=54%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS	Details ...	39	0.14034668	1.0635046	0.3403846	0.36071455	1.0	18828	tags=69%, list=55%, signal=154%	
